0,1,2,3,4,5,6,7,8,9,10,11,12,13
4,10,1,14,1,1,7,1,1,100,snappy,1,8.34,237.23
5,19,11,2,1,11,22,1,14,13,lz4,1,9.87,161.87
19,3,69,1,4,18,24,2,30,32,gzip,1,10.39,44.07
9,6,98,1,7,11,3,38,49,43,gzip,1,10.39,66.92
2,1,22,9,7,5,5,46,16,97,gzip,1,11.5,28.58
6,10,68,13,4,6,18,7,15,37,gzip,1,12.73,27.27
8,3,16,10,11,5,22,3,16,19,gzip,1,13.07,27.16
16,20,80,5,12,16,2,4,13,68,gzip,1,14.32,23.18
18,14,81,16,16,13,10,5,8,50,gzip,1,14.68,20.7
